"TABLE 6. Published Tuition and Fees in Current Dollars and in 2017 Dollars, 2007-08 to 2017-18 and Full-Time Fall Undergraduate Enrollment, 2007 to 2015 at Flagship Universities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Full-Time Fall Enrollment,,,,,,,,
In 2017 Dollars,STATE,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007,2008,2009,2010,2011,2012,2013,2014,2015
University of Vermont,VT,"$14,165","$14,293","$15,407","$15,794","$16,018","$16,330","$16,471","$16,640","$17,168","$17,598","$17,740",1%,9%,"$32,832","$33,031","$35,753","$36,637","$37,298","$38,050","$38,401","$38,882","$40,135","$41,058","$41,356",1%,9%,"9,136","9,513","10,034","10,125","10,086","9,803","9,621","9,601","9,718"
University of Washington,WA,"$7,503","$7,686","$9,053","$10,075","$11,730","$13,231","$12,991","$12,734","$12,143","$10,938","$10,974",0%,-17%,"$26,008","$25,956","$28,007","$28,745","$30,674","$33,139","$33,503","$34,432","$35,020","$35,389","$35,538",0%,7%,"24,144","24,968","28,052","26,509","25,798","25,995","27,013","27,733","28,327"
University of Wisconsin-Madison,WI,"$8,447","$8,422","$9,446","$10,086","$10,479","$11,095","$10,901","$10,696","$10,683","$10,668","$10,533",-1%,-5%,"$25,193","$24,280","$26,252","$27,209","$27,544","$28,457","$27,930","$27,391","$30,427","$33,301","$34,783",4%,22%,"27,680","27,802","27,558","27,746","27,475","27,883","28,183","27,867","28,158"
West Virginia University,WV,"$5,549","$5,676","$6,029","$6,070","$6,148","$6,507","$6,765","$7,151","$7,828","$8,129","$8,376",3%,29%,"$17,157","$17,550","$18,644","$19,090","$19,334","$20,160","$20,572","$20,984","$21,983","$22,875","$23,616",3%,17%,"19,748","20,533","20,260","20,809","21,139","21,118","21,027","20,863","20,532"
University of Wyoming,WY,"$4,177","$4,030","$4,235","$4,409","$4,469","$4,571","$4,615","$4,773","$5,017","$5,142","$5,217",1%,14%,"$12,215","$12,276","$13,296","$13,740","$13,928","$14,347","$14,801","$15,284","$16,033","$16,494","$16,827",2%,17%,"7,763","7,911","8,124","8,352","8,346","8,309","8,254","8,272","8,392"
,,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,,,,,,,,,
In Current Dollars,STATE,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,,,,,,,,,
University of Alaska Fairbanks,AK,"$4,496","$4,828","$5,133","$5,316","$5,570","$5,898","$5,988","$6,182","$6,804","$7,184","$7,518",5%,27%,"$13,466","$14,248","$15,036","$15,906","$17,210","$18,348","$18,948","$19,502","$20,784","$21,854","$22,908",5%,25%,,,,,,,,,
University of Alabama,AL,"$5,700","$6,400","$7,000","$7,900","$8,600","$9,200","$9,450","$9,826","$10,170","$10,470","$10,780",3%,17%,"$16,518","$18,000","$19,200","$20,500","$21,900","$22,950","$23,950","$24,950","$25,950","$26,950","$28,100",4%,22%,,,,,,,,,
University of Arkansas,AR,"$6,038","$6,400","$6,459","$6,768","$7,174","$7,553","$7,818","$8,210","$8,522","$8,820","$9,062",3%,20%,"$14,492","$15,278","$15,445","$16,000","$17,606","$18,434","$19,075","$20,302","$21,826","$23,168","$24,308",5%,32%,,,,,,,,,
University of Arizona,AZ,"$5,037","$5,531","$6,855","$8,237","$9,299","$10,035","$10,391","$10,957","$11,403","$11,769","$11,877",1%,18%,"$16,271","$18,665","$22,572","$24,597","$25,509","$26,231","$27,073","$29,421","$32,600","$36,017","$35,307",-2%,35%,,,,,,,,,
University of California: Berkeley,CA,"$7,164","$7,656","$9,749","$10,940","$12,835","$12,874","$12,864","$12,972","$13,431","$13,485","$13,928",3%,8%,"$26,784","$28,264","$32,418","$33,819","$35,713","$35,752","$35,742","$35,850","$38,139","$40,167","$41,942",4%,17%,,,,,,,,,
University of Colorado at Boulder,CO,"$6,635","$7,278","$7,932","$8,511","$9,152","$9,482","$10,529","$10,789","$11,091","$11,531","$12,086",5%,27%,"$24,797","$26,756","$28,193","$29,493","$30,330","$31,378","$32,297","$33,151","$34,125","$35,079","$36,220",3%,15%,,,,,,,,,
University of Connecticut,CT,"$8,842","$9,338","$9,886","$10,416","$10,670","$11,242","$12,022","$12,700","$13,364","$14,066","$14,880",6%,32%,"$22,786","$24,050","$25,584","$26,880","$27,566","$29,074","$30,970","$32,880","$34,908","$35,858","$36,948",3%,27%,,,,,,,,,
University of Delaware,DE,"$8,150","$8,646","$9,486","$10,208","$11,192","$11,682","$12,112","$12,342","$12,520","$12,830","$13,160",3%,13%,"$19,400","$21,126","$23,408","$25,408","$27,462","$28,772","$29,932","$30,692","$31,420","$32,250","$33,150",3%,15%,,,,,,,,,
University of Florida,FL,"$3,370","$3,790","$4,373","$5,045","$5,657","$6,143","$6,263","$6,313","$6,381","$6,381","$6,381",0%,4%,"$17,791","$20,640","$23,744","$27,322","$27,934","$28,420","$28,540","$28,590","$28,658","$28,658","$28,658",0%,1%,,,,,,,,,
University of Georgia,GA,"$5,259","$5,532","$6,172","$7,338","$9,472","$9,842","$10,262","$10,836","$11,622","$11,634","$11,818",2%,20%,"$20,726","$22,343","$25,946","$26,946","$27,682","$28,052","$28,472","$29,046","$29,832","$29,844","$30,392",2%,8%,,,,,,,,,
University of Hawaii at Manoa,HI,"$5,390","$6,259","$7,168","$8,096","$9,100","$9,404","$9,904","$10,620","$11,164","$11,732","$11,732",0%,25%,"$14,654","$16,915","$19,328","$21,536","$23,932","$25,652","$27,472","$29,412","$31,516","$33,764","$33,764",0%,32%,,,,,,,,,
University of Iowa,IA,"$6,293","$6,544","$6,824","$7,417","$7,765","$8,057","$8,061","$8,079","$8,104","$8,325","$8,964",8%,11%,"$19,465","$20,658","$22,445","$23,713","$25,099","$26,279","$26,931","$27,409","$27,890","$28,413","$30,608",8%,16%,,,,,,,,,
University of Idaho,ID,"$4,410","$4,632","$4,932","$5,402","$5,856","$6,212","$6,524","$6,784","$7,020","$7,232","$7,488",4%,21%,"$14,490","$14,712","$15,111","$16,994","$18,376","$19,000","$19,600","$20,314","$21,024","$22,040","$23,812",8%,25%,,,,,,,,,
University of Illinois at Urbana-Champaign,IL,"$11,130","$12,240","$12,528","$13,096","$13,838","$14,522","$14,750","$15,020","$15,626","$15,698","$15,868",1%,9%,"$25,216","$26,024","$26,336","$27,238","$27,980","$28,664","$29,132","$29,646","$30,786","$31,320","$31,988",2%,12%,,,,,,,,,
Indiana University Bloomington,IN,"$7,837","$8,231","$8,613","$9,028","$9,524","$10,033","$10,209","$10,388","$10,388","$10,388","$10,533",1%,5%,"$22,316","$24,769","$26,173","$27,689","$29,540","$31,483","$32,350","$33,241","$33,741","$34,246","$34,845",2%,11%,,,,,,,,,
University of Kansas,KS,"$7,146","$7,705","$8,206","$8,733","$9,222","$9,678","$10,107","$10,448","$10,802","$11,455","$12,069",5%,25%,"$17,556","$18,909","$20,185","$21,538","$22,608","$23,748","$24,873","$25,731","$26,640","$28,239","$29,776",5%,25%,,,,,,,,,
University of Kentucky,KY,"$7,096","$7,736","$8,123","$8,610","$9,128","$9,676","$9,966","$10,464","$10,936","$11,320","$11,772",4%,22%,"$14,896","$15,884","$16,723","$17,678","$18,740","$19,864","$21,052","$22,734","$24,268","$26,156","$27,856",6%,40%,,,,,,,,,
Louisiana State University and Agricultural and Mechanical College,LA,"$4,543","$5,086","$5,233","$5,764","$6,354","$7,003","$7,880","$8,750","$9,842","$10,814","$11,374",5%,62%,"$12,843","$13,800","$14,415","$16,549","$19,362","$22,279","$25,798","$26,467","$27,005","$27,491","$28,051",2%,26%,,,,,,,,,
University of Massachusetts Amherst,MA,"$9,924","$10,417","$11,917","$11,917","$12,797","$13,230","$13,415","$13,443","$14,356","$15,156","$15,596",3%,18%,"$20,499","$21,914","$23,414","$23,813","$25,585","$26,645","$26,830","$27,812","$30,689","$32,389","$33,662",4%,26%,,,,,,,,,
University of Maryland: College Park,MD,"$7,969","$8,005","$8,053","$8,416","$8,655","$8,908","$9,161","$9,427","$9,996","$10,182","$10,399",2%,17%,"$22,208","$23,076","$24,156","$24,831","$26,026","$27,287","$28,347","$29,720","$31,144","$32,045","$33,606",5%,23%,,,,,,,,,
University of Maine,ME,"$8,330","$9,100","$9,626","$10,142","$10,588","$10,594","$10,600","$10,606","$10,610","$10,628","$10,902",3%,3%,"$20,540","$22,510","$23,972","$25,172","$26,308","$27,454","$27,970","$28,486","$28,880","$29,498","$30,282",3%,10%,,,,,,,,,
University of Michigan,MI,"$10,447","$11,037","$11,848","$11,837","$12,634","$12,994","$13,142","$13,486","$13,856","$14,402","$14,826",3%,14%,"$31,301","$33,069","$34,937","$36,001","$37,782","$39,122","$40,392","$41,906","$43,476","$45,410","$47,476",5%,21%,,,,,,,,,
University of Minnesota: Twin Cities,MN,"$9,885","$10,634","$11,287","$12,203","$13,022","$13,459","$13,618","$13,626","$13,790","$14,142","$14,417",2%,7%,"$21,515","$14,634","$15,529","$16,503","$18,022","$18,709","$19,868","$20,876","$22,210","$23,806","$26,603",12%,42%,,,,,,,,,
